text,label
Njan  undakki  kondirikkunu   mathi      pakshe  kurach  change  und..... kari vekkunathil   .... ‍,6
Wow.... simple & super ആണല്ലോ...,3
Njan chila videos okke vere mob il ninnu kandu veenechiiirecipe pwolichuuuuu..oru rekshayilla veenechii,3
Chechii pudding superaaaatto.. innu njan undaakki nokki,2
Chechi ..tried ur sambar recipe yesterday..hus nu njan undakiya sambar aadhyamayi ishtayi..thanks a lot Chechi,6
awosome Lovely mam,3
"Nice Home, all the best Veena…",6
You tube family groupil Engane join chyyan pattum,6
സൂപ്പർ,6
Korach quantity undakumbo ok... but kooduthal undakumbo ingne katta illathe kittan Enda cheyya?,7
God bless you,6
Arabic pudding came out wellThanks for such recipeI love the glazing part .From you I learnt glazing n I used to try in cakes with canberry  .Thank you so much dear.....,5
Easy recipe thankyou chechi ,5
Flowers tv yude mazavil okke ariyan patto avarde YouTube channel,6
Chechi oru day in my life chyo pls,6
Most awaited video,3
Biriyani undakkum urappayum,6
Hai chechikutty..,6
Naseema ,6
Sooper. Length  kurakallay.,7
Folding..... ,6
"പല സ്ത്രീകളും കുറെ പ്രായമായതിനു ശേഷം മനസ്സിലാക്കുന്ന സത്യങ്ങൾ വീണ ചെറിയ പ്രായത്തിൽ തന്നെ മനസ്സിലാക്കി. ഉദാഹരണം മുൻഭർത്താവിന്റെ ആത്മഹത്യാ ഭീഷണി. മിക്ക സ്ത്രീകളും അതിൽ വീണു പോവും. അനുവിനെ പോലുള്ള ഒരു നല്ല കൂട്ടുകാരിയോ കൂട്ടുകാരനോ ഉണ്ടാവണം എല്ലാ സ്ത്രീകൾക്കും. എന്തായാലും 3 കൊല്ലം കൊണ്ട് തീർന്നല്ലോ നരകയാതന . വർഷങ്ങളായി ഇത്തരം യാതനകൾ അനുഭവിക്കുന്ന സ്ത്രീകൾക്ക് അതിൽ നിന്നും പുറത്ത് കടക്കാൻ തീർച്ചയായും ഒരു പ്രചോദനമാവും നിങ്ങളുടെ ഈ വെളിപ്പെടുത്തൽ. Hats off to Veena, Jan and my favourite Anu",6
ente new channel ellarum support cheyyaneeee,6
ജീവിതതിൽ കാണാൻ പറ്റാത്ത സ്ഥലം കാണിച്ചു തന്നതിൽ നന്ദി ,1
Gud evening chechi  thank u so much chechi its really useful for me  luv u chechi ,1
Wow.. tea cake recipe  super ,2
I am from Kottayam,6
"Awesome , u made it so simple n tasty ",2
Vila ketu kannuneeru varum.,6
Much awaited video..!!,3
Good recipe Veena....,2
Ur very lucky,6
Happy journey my dear Chechi..,6
Chechiiii....Paneer is my favourite,6
Congrats.Happy New Year. Always be Blessed.,6
Thank you so much veena,1
Thanks  ചേച്ചി.ഇപ്പോ  മനസിലായി  എങ്ങനാ  ഉണ്ടാകുന്നെ  എന്ന്.എപ്പോളും ചാലമായി    pokarullatha.thanks,1
Chechikutty folding atu polichu really you ,6
"ഇഷ്ടപ്പെടാത്ത ജോലിയിൽ നിന്ന് Resign ചെയ്യുമ്പോഴും, ഇഷ്ടമില്ലാത്ത ഭർത്താവിനെ divorce ചെയുമ്പോഴും ഉള്ള ഒരു സന്തോഷം ഉണ്ടല്ലോ !! ഒരു ആശ്വാസം!",6
ചോച്ചി: o. tg യിൽ പറ്റുമോ.?,6
puthiya veedu super aanu. all the best Veena & family.,6
Happy Birthday avi..,6
ചേച്ചികയും കുടുംബത്തിനും സർവ ഐശ്വര്യവും സന്തോഷവും പുതിയ വീട്ടിലും ഉണ്ടാവട്ടെ എന് ദൈവത്തോട് പ്രാർത്ഥിക്കുന്നു,6
Ellam unsubscribe cheythu. ,6
ഉപ്പില്ല എന്നു പറയുമ്പോഴുള്ള നിഷ്കളങ്കത....  നാട്യങ്ങളില്ലാത്ത...ഈ അവതരണം....ഓരോ വ്ളോഗു കഴിയുമ്പോഴും കൂടുതൽ കൂടുതൽ  സ്നേഹം തോന്നുന്നു,6
Really waiting for this recipe,2
X MAS celebration Portugalil vechano,6
Such videos are required..quick and easy one's for working women,3
ഈ വട്ടയപ്പം ഞാനിതുവരെ കഴിച്ചിട്ടില്ല . എന്നാ ഒന്ന് കഴിക്കാൻ പറ്റുന്നത് . ഇന്നലെ ചേച്ചീടെ റസീപ്പിയിൽ കൊഞ്ചു ഫ്രൈ ഉണ്ടാക്കി . അടിപൊളി ആരുന്നു.,2
"Great mam, ",3
"Njangalude veetile Sunday special, Love you so much mam  ",4
Hai Veenaji.,6
firsteeeee,6
Very  nice  n  very  attractive  views!explore  every  bit  of it guys!enjoy  each seconds!tc  !be  safe!!!!,6
I tried making the fruit salad and jelly. It came out very well. It was delicious. Thank you much for this great recipe ,1
"Quite a way to hit the bullseye with these clever yet subtle bullseye drops ! The perennial ""run"" ( or others refer it as the ""bleed"" ) of the yolk is often a bane at discerning breakfast tables ! ( Reminds me of something tht plays out in my head, if im at a bfast table.  Waiter: ""How do you like your Eggs Sir..?"" Me:""Scrambled like your brains Mr... !!"" )",6
ഞാൻ ഉണ്ടാക്കി നോകിട്ടോ..... എന്റെ മോൾക് ഭയങ്കര ഇഷ്ടായി... എനിക്കും.... ,6
Jhanundakki,6
Unniyappam so yummy thank you,4
"Dear Maam,really feel so happy to see your jolly trip.",6
Will surely try,6
Congrats veena,6
I was waiting for this recipe especially from Veena chechi... I have tried three times from different YouTube videos. But it was not perfect like you are showing..it is really very soft... very well explained...sure to try this.. thank you,5
Firsteeee,6
"Veenaechy,innanu ithu kandathutto,",6
Wow beautiful ,4
Thank you chechi I really got interest in cooking only bcos of you.. love you,5
Hai. വീണേച്ചി. വീട്. ,6
Adipoli taste .... thank you fr t recipe,5
Veenachechiiii... Super ... Yanthayalum try cheyum...,3
Mam ,6
Chechi aa clock il oru battery vangie idu.videos ellam ore time annu.,6
thanks madam nanithvare freshcreem ettit frutssalaad undakiyilla try chaid nokkatte cheachikazikumbothanne undakaaanamennund adipoli,2
Hi! We would like to collaborate with you. Can you please revert to the email. Looking forward to working with you.,7
Chechide receipes okke kaandond irikkan thanne enthu super aa...  ,2
Super aayi... ,3
Really wanted to see the cosmetics overthere . Enjoy.. ,6
"Hi Mam,  I was just wondering how do you manage your time....!!!!.....",7
Excellent preparation  always favourite recipe.,5
ആ പാതാള വഴി കണ്ടാൽ പേടിച്ചു പോകും ആ വെള്ളത്തിൽ ഉള്ള കല്ലുകളിൽ കൂടി നടക്കായിരുന്നു വീണക്ക്... വെറുതെ ഒരു രസം..... ,6
So satisfying Cheachi....,4
Last minutes ,6
Chechiiii i made it i was superrrrr soft,6
വിയന്ന സുപ്പർ .അവിടെ പോയി കണ്ടാലേ അതിനെ പറ്റി അറിയൂ. ഇന്ത്യ കരെ അവർക്കു നല്ല ബഹുമാനം ആണ്.,6
ഇത് ഒരു തവണ ഞാൻ ഉണ്ടാക്കിയിട്ടുണ്ട് ടേസ്റ്റ് ആയിരുന്നു. എന്നാലും വീണേച്ചിയുടെ ഇ മാർബിൾ കേക്കും കൂടി പരീക്ഷിക്കും. ,6
Superrrrrr,6
Thanku chechiiii ,1
"++A measured ""tablespoon"" of water  was an eyepopping first VJ haha ! Never seen that one ere! The innumerable nuances I say ( like the switch to oil from water for the dashed up version..)  that brings abt the distinction between run-of-the-mill one's n ",6
 അല്ല ഇവരുടെയൊക്കെ ശമ്പളം കണ്ടു കണ്ണ് തള്ളിയിട്ടു നമുക്കെന്തു കിട്ടാനാ?? സ്വന്തം ആയിട്ട് പത്തു കാശുണ്ടാക്കാൻ നോക്കൂ എല്ലാരും,6
As usual  vlog is sprb..,3
Veenachechik enthu pati?  Vayyatha pole,6
Beauty secrets after onam include cheyanam..plzzz..,7
ചേച്ചിടെ പാചകം വ്യത്യസ്തമാണ്... ഇങ്ങനെ ഒരു റെയിൻബോ കേക്ക് ആദ്യമായി കാണാണ്...എന്തായാലും പൊളിച്ചു....,6
She deserves coz of her hardwork...  Really proud of u Veena chechi.,6
അബുദാബി ഗ്രാന്റ് മോസ്ക്‌ ഒക്കെ വെച്ച് ഒരു വീഡിയോ ചെയ്യൂ ചേച്ചി,6
ചേച്ചി മീൻ കറി പോലെ ടീ ഷർട്ടും കലക്കി പിന്നെ ടീ ഷർട്ടിലെ ബാറ്ററി ലോ ആയി കാണിക്കുന്നത് ഞാൻ മാത്രമാണോ കണ്ടത്....,6
"Chechi,  I'm going to stay with you somewhere there...  ethoke kandu evide erikan vayya...  or else Ernakulam flat ullathu pole njangalde Kottayam oru flat vangu..  so that it will be easy for ppl like me to come to you...  Usually ladies serial anu routine pole miss akathe kanunath but for me its your vlogs..  chechi, waiting for more videos",4
Kappalandi mathramalla ella nutsum rosttu cheyyan pattum,7
Expect cheytha recipe. Video length kurakkanda mam. Thk u mam,1
"Hi, Cute family",6
Ith njan kalakkum ,6
   Happy onam madam.,6
"Hai ma'am, I am  watching now only. I think you are in love with തൊണ്ടൻ മുളക്.  So nice to see you working sitting on the floor.let me watch the full video.",3
ഹായ്‌ വീണകുട്ടി സൂപ്പർ ആണ്,4
"Veena  u r soooooo beautiful, nd so is ur work, adiboli, stay blessed, love watching ur cooking.",4
Stay blessed dear abi,6
"Thank you madam, especially for the bay leaf tip",1
Super pudding chechi,3
ചേച്ചി ഒരു hai തരു... ആരൊക്കെ എന്ത് പറഞ്ഞാലും ചേച്ചി സൂപ്പർ ആണ്  i love you,6
Photoes nattile egg yolk pale yellow ayath kond kanan nannayilla,6
"Ma'am you said no one is there to taste.  I will taste and tell you, it's excellent ma'am.",4
Chechiiii...I cant expresss how happppy iam in my life because of youuuu.....I got married just 8 months backk...n I havnt made any cooking bfr marriageee..and I cant tell howw u hav helpeddd me out in my daily lifeeee...myy hubbbyy n frndzz talk high about my cooking nowww....even mommm che hi..kalyanatinu munbbb yenum ammaku tensionn aayrnuuuu..njan keri cheluna veetil yene thali odikyum yen..hehe..ipo njaan amaaku indaki kodukumboo kittuna santhosham.ile che hi paranu ariyikyaan patooolaaa.....,6
Super Chechi ,4
Thank u dear...,1
Mamnde bookkil kand padicha resippiyauid,7
ഇതു പോലെ wait ചെയ്ത് Skip ചെയ്യാതെ കണ്ടിട്ടുള്ള Vedio കളില്ല ചേച്ചിയുടെ പോലെ.,4
Njan undakki nokki veenechi Perfect ayi vannutto,6
Lovely!!!!! Amazing vlogs!!! Actually ippo vedios  nu waiting aanu!!may God bless  u & continue to b a blessing  for many of us..thank u so much....I think now  people are only  watching  ur channel!! Stay blessed......,5
"Hi mam, ente kuttikal kku tharav erachi valare eshdamanu, emikk ariyilla eppo eni muthal undakkan paytumallo ",6
Powlichu ,3
Pasta polulla items allatheyulla easy kids tiffin itemsnte more recipes cheyyamo chechii..,7
Simple... Super chechi... ,5
കൊടുങ്ങല്ലൂർ അമ്പലം ,6
Onam series...it's really interesting...one by one our favourite and useful recepies ...in different costumes thank u mam,5
Mam.. Trichuvarumbol beauty segment idane..cosmetic brands... Ethanu mam use cheyunnennuariyan oru Agraham,6
Mam.. Love your simplicity.,6
Nice Veena thanks God bless you.,5
Thank you ma'am for the recipe. I will make it.  Super video presentation.  Ave a wonderful day...,5
Ada manga achar recipe cheytitunto?,7
Dont feel sad,6
Ee pudding um adipoli ,2
herya mon urngye ullu..pathirathryum kazhnju.vishannit noodles undkki kazhkumbola chechyde video..,6
Chechiii prepare cheythoottaa... super ayirunnutto Thank you,5
Thanks Veena ,1
പഴയ psycho ഇത് എവിടേലും ഇരുന്ന് കാണുന്നുണ്ടാവും. ,6
Chechiyude non-stick pathrangal eth brandan??,7
Ramazan nil undakaarund orange allayennu mathr,6
"Jaan chettaa.. dialogue...hahaha..vallappozhum veyil kollan vendi , nadathaan vendi  okkeya evare tour nu kondu varunne nnu...",6
താങ്ക്സ്... സദ്യ സാമ്പാർ ഇന്നലെ ഉണ്ടാക്കി.. എല്ലാരും നല്ല അഭിപ്രായം പറഞ്ഞു.. ഒരുപാട് നന്ദി..,1
Ente ettavum ishttapetta desert thank you chechi,1
Veena മോളുടെ കൂടെ ഇപ്പോഴും മാലാഖന്മാർ ഉണ്ട് കെട്ടോ. ഞങ്ങളുടെ പ്രാർത്ഥനയും എപ്പോഴും ഉണ്ടാകും.,6
ചേച്ചി ഞാൻ ഉണ്ടാക്കി super ആണുട്ടോ. Husbund നു ഖത്തർ ലേക്ക് കൊടുത്തു വിടാൻ പറഞ്ഞിരിക്കികയാ കുറച്ചു ദിവസം കേടാവാതെ ഇരിക്കുമല്ലേ thanks ചേച്ചി,6
Hi Veena... Njaan ulli chicken undaki.... Ente ponne.... Enthaa taste.... Adipoli... Super... Super... Super... Thank u dear,5
Super taste amu chechi ithinu,2
Pulissery ippo thanne undakki....Superb ,2
"Super temple, Nice home ",6
Chechi chettan sukamalle... Randalum nice aayitt panjarayadichu irikkuvale,6
Paravathys family super ,6
Thanks Veena God bless you and your family,1
HAPPY BIRTHDAY AVIKKUTTA.....GOD BLESS YOU,6
Chechi...It's looks so awzm....... Yummy!!! I will definitely try....,5
Aa baakki vanna maggie noodles masala enikku tharuvo ?? Njaan ippozhum athu nakki thinnaarundu.,7
Nice recipe  chechi KFC cheythu kanikkamo plssss,7
കാണുമ്പോൾ തന്നെ കൊതിയുണ്ടാക്കുന്ന എന്നാൽ വളരെ സിമ്പിളായിട്ട് ഉണ്ടാക്കാവുന്ന റെസിപ്പി.സൂപ്പർ,1
Otthiri otthiri thanks und...venna chechi de cake recipe ke vendette watting ayirunu....ipo njan Happy ayiii...thank you so much chechiii kutty....,5
Awesome ,2
സത്യത്തിലും ഞാൻ ചേച്ചീടെ ഒരു ഫാൻ ആയിട്ടോ...,6
ജാൻ ചേട്ടന് ഒരു ബിഗ് സല്യൂട്ട്,6
inganathy veedios idooo ellarkkum verietya ishtem,7
Ippol meen curry inganethanne undaakkaar,6
Mam ...Tiktok il Njaan already follow cheyyunne  FB il cheyyunnede.... But how can I join with YouTube family group ??,7
കാണാനും കേൾക്കാനും ഒത്തിരി രസമാണ്. നമ്മുടെ സ്വന്തം ആൾ അടുത്തിരുന്ന് ചിരിച്ച് ചിരിച്ച് സ്നേഹത്തോടെ പറഞ്ഞു തരുന്ന അനുഭവം.,4
"Veena, super and easy cake. .....I try dear",2
Thank you Veena for this recipe ,1
Thank you for sharing all the Onam special recipes and tips. Some of these traditional methods of cooking are new to me.  Wants to try everything,1
Super. Veenachechee,3
Thank you very much ma’am,1
ചേച്ചീ മീന്‍ കറി നന്നായിട്ടുണ്ട് കെട്ടോ  പിന്നെ ചേച്ചിയുടെ ടീഷര്‍ട്ട് സൂപ്പര്‍,2
മാമിന്റെ അവതരണം കാണാൻ വേണ്ടി മാത്രം കാണുന്നവർ ലൈക്കൂ,6
Really great sharing..,3
Ente nalathe breakfast .....muzhuvan cherupayar aayalum mathiyo cherupayar parippinu pakaram  ?,7
Haii mam.. Sugaanoo,6
"Veenachechi  monode onnu camera ki munnil vanu onnu samsarika  para, kekanulla kothikonda.,",6
Manorama onlinil chechide beauty tips video eppol kandu kazinjollu.. Really you are great... lv u,4
"Super taste.....sambaranu combination Chechi,....",3
Hii chechii ... Schezwan chicken fried rice cheyyo ,7
Ente husum edakku paranju pedippikkarud chechei.5year edavu njan ennu paranju. Enikkum pediya chechi paranja pole. Sathyam,6
Oru rakshalla look  ,6
Hai veenachechiiiii,6
Just loved it.,6
Hi super but njn bulsay kayikilla,6
Superb  mam. Thanks for sharing ,1
അതി മനോഹരം... interior ചെയ്ത ആളുടെ നമ്പർ തരുമോ മാം..,6
"Sooo happy to see happy moments from your life,  it gives inspiration to live like this. All 4 of you are very beautiful inside and out. Your youngest kid makes your entire family lively. Hugs to avi and aathu Jaan chettans advises and  approach towards  life are wonderful. God bless .",6
First adiche,6
Haii Chechii&Chettaa,6
താറാവ് ഇഷ്ടമില്ല (കഴിച്ചിട്ടുമില്ല ) അതുകൊണ്ട് no comments ,6
"Hi mam... namukku ivide( Ernakulam dist)olan ingane alla  bt ithum try cheyyum. koottu curry ,payasam athinu vendi  katta waitingil aanu.",7
Adipoli today ondaakkum,2
More Blessings for a Happy Family..,6
Love your way of cooking and presentation,4
Kaanunnathin munne like adichu ,6
Thank you chechi,1
Veena chechi...... simple ,4
"Happy new year... ചേച്ചി, ജാൻ ചേട്ടാ avi കുട്ടാ athu baby",6
U r sooo lucky ...got wonderful husband n in-law's big salute to them,6
"കേരളത്തിൽ ഒരു വർഷം കുറഞ്ഞത് 100,000 ഭവന സ്വപ്നങ്ങൾ സാക്ഷാത്കരിക്കപ്പെടുന്നുണ്ട് എന്നു കരുതുക",6
നല്ല ഒരുfamily .എന്നും സന്തോഷത്തോടെയും ഒരു മയോടെയും നിലനിൽക്കട്ടെ.,6
Thanks  sunday  തീർച്ചയായും  ഉണ്ടാക്കും.,1
"Tried the irachi thoran recipe, adipoli aayrnu :-)",2
Congratulations veenachechiiiWishing the best for u and ur family always ,6
Onam matramalla ene oru sadya orukkan thanne tension adikkanda,4
ഇടയ്ക്ക് ആകാശത്തു കണ്ട പ്രഭാവലയം എന്താണ് സൂചിപ്പിക്കുന്നത്.കടങ്കഥ കിച്ചണിൽ മാത്രമല്ല ജീവിതത്തിൽ നമുക്ക് ചുറ്റും നമ്മളറിയാതെPortugal കാഴ്ചഭംഗിയുടെ രുചി നുകരാൻ ഇനിയും കാത്തിരിക്കുന്നു.Thanks ജാൻ ചേട്ടാ ,6
തോരൻ ഉണ്ടാക്കി ഇപ്പോൾ (2/9/2019).....  സൂപ്പർ...  സ്വാദ്...,2
Made this.. was a super hit....planning to make again when our carols come home.. will make it in shot glass,6
lekshmi ma ishtam,4
Can you show how to roast cashew nuts,7
Ee meen curry kannduu chore unnuna njan. ..,6
Thank you Chechi easy recipes kaanichu tharunadinu,1
Me.. a cake lover..,6
My style of fish curry.thank you ma'am.,1
kpz would for tricks & treets channelinte cheyyumo,6
Njan Ee ulli chicken Christmasn ondakum. Thanks chechi ,1
Satisfying....,3
Belated Happy Birthday Avikutta ,6
Njan vena chechida Ella recipe kanarud Ellam powli,2
Kazhicha feel aayi,6
Unniyappam kandu kothiyayi.... Jan chettan .. enthelum kittiyo gift....?,6
Try cheydu. .. super. Thank u chechi,5
Inippo tharavu evide kittumennu nokkanam,6
"പുതിയ വീട് അടിപൊളി,ദൈവം എപ്പോഴും അനുഗ്രഹിക്കട്ടെ,ഇളയമ്മയെ ഭയങ്കര ഇഷ്ടായി ട്ടൊ",6
"ചേച്ചി,  നല്ല സാരി...",4
"Wow yummy recipe  Mem from where did you buy this wok, its really comfortable for cooking",2
"Vasco Da Gama yude naad. Your matching sunglass looks nice, Veena.",6
"ചെട്ടിനാട് ചിക്കൻ fry സൂപ്പറായിട്ടോ Mam. കണ്ടിട്ട് കൊതിയായി. ഞാൻ ഒരു ചിക്കൻ പ്രേമിയാണ്.,",2
"Waiting for tvpm style tenga aracha meencurry, why I love your vlog is, this is the way my mother also cook and we belongs to tvpm!",7
Wow... Suuppeerr....,4
Wow lovely celebration ,6
വീഡിയോ കണ്ടു തുടങ്ങി 3 മിനിറ്റ് ആയപ്പോൾ നെഞ്ചിൽ ഒരു ഇടിയേറ്റപോലെ തോന്നി...എന്റെ വീണേച്ചിക്കു ഇങ്ങനെ ഒരു ഫ്ലാഷ് ബാക്കോ?സംരക്ഷിച്ചു കൊള്ളാമെന്ന അച്ഛന്റെ ഉറപ്പും വസിക്കാനൊരു വീടും ഉള്ളത് കൊണ്ട് അന്നൊരു ശരിയായ തീരുമാനമെടുക്കാൻ വീണേച്ചിക്കു കഴിഞ്ഞു.ഉറപ്പു തരാനോ തിരിച്ചു  ചെന്നു കയറാൻ ഒരു വീടോ ഇല്ലാത്തതിനാൽ ഹൃദയത്തി നുള്ളിൽ ആസിഡ് വീണ പൊള്ളലുമായി കഴിയുന്ന എത്രയോ പെൺകുട്ടികൾ ഉണ്ട് ചേച്ചി നമുക്കിടയിൽ...അവരെ ഓർത്താണോ എന്നറിയില്ല കരച്ചിൽ നിർത്താൻ  എനിക്ക് കഴിയുന്നില്ല...,6
*വട്ടയപ്പം ഇഷ്ടമില്ലാത്ത മലയാളികൾ കാണില്ല എന്നത് സത്യമാണ് . വട്ടയപ്പ പ്രേമികൾ ആരുണ്ടിവിടെ*,6
I love your presentation mam,4
Eeshwaraa nale upmav undakan rava mediche ollu...Nale njan polikkumEe videoku othiri Thanksttoo,1
Going to prepare this tomorrow ,6
Thank you,1
Aviiii....aathuuusss ,6
Nammade Veena chechiii... notification varumbo thanne orupad santhoshanuuu,6
ഓപ്പോളേ.... ബ്രെഡ്‌... Sooperb...,2
എന്താ ഹായ് നല്ല വീട്,6
Thank you jasmine mam for helping lakshmi mam... Wonderful land of gifted nature's,6
"Entha lighter vangathe, ",6
Thanku chechiiiii,1
Happy birthday monu.god bless you.,6
മാം സ്‌നാക്‌സിന്റ് റെസിപ്പീസ് ഇടുമോ,7
Lovely family love u veenechi ,6
Mam...I think I had watched this recipe in magic oven long time ago... anyway definitely I will try,2
Hey Chechi!! Made this lovely dish !! I was missing home a lot and this just made my day !My friends loved it tooo!! ,6
സ്നേഹം കൊണ്ട ചേച്ചി മരണത്തിന്റെ കാര്യം ഒക്കെ പറഞ്ഞു നമ്മളെ ചൂടാക്കുന്നത്...,6
Thanks,6
Adipoli.. ,3
പുതിയ ഇരുമ്പ് ചീനച്ചട്ടി ലെ ഇരുമ്പ്  എങ്ങനെ കളയും ഒന്നു പറഞ്ഞുതരാമോ,7
God bless u and family to have a peaceful happy life.,6
 നിങ്ങൾ ഒരു ഫീനിക്സ് പക്ഷി തന്നെയാണ്,6
Chechi super . Njan try cheyyan pova . Happy journey ,5
Chechee.. chikoo shake nde video cheyyuo..checheedeth kaanathathinal njn vere palathum try cheydu..onnum success aayillaa...checheede vech cheydal 100% success aarikkum.. please cheyyane..pinne sunflower oil use cheyyumbo nmmude kadayi okke vrithikedaavunnu wash cheyyumbo ponne illaa..angane aavthirikkan endelum tip undo..checheede paatrathil onnum angane kaanunnillalllo,7
"This godd vedio, and good explanation in place,, nice jan chetta, u really great prepare in this tour guide,,, nice,,,",6
Ithonnum undakkillengilum kanan nalla rasaan veenechi love you ,4
Chicken  mugalai  very tasty   ee  recipe  magicovenil  kanditt  nhan  undakkiyittund ,2
Parvathiyude kunjille koode,6
Brave women... Love from the bottom of ma heart.. inspired a lot.. facing similar prblms...thnk u soo much for the motivation,6
Christmas recipe vannneeeeeee.....thank you Chechii ,6
Thank you chechi very useful ,1
"Its good that you did nt polish your Nails, do you know that Nails need Breathing Space, its nt good to hve it Polished 365 day's.",6
"Hi, Can I use fresh coconut instead of coconut milk and if so what’s the measurement for it? Looking forward to your response. Thanks in advance",5
"Chechi, you look tired...",6
Thankzzz for your wonderful attitude of sharing recipes with your signature style....,1
"Hsi ma'am, the way when you explain, i could feel the taste of it. I like your green colour kannappa. Your camera man is lucky to taste all your recipes. Hope we could see him oneday.",3
Happy anniversary to the lovely young couples. Dr.kalyan is very simple & humble. Thanks to all family members .Lovely home..,6
Very helpful for me...thnx a lot,1
Normal njan evening snack aayi aanu use cheyunath. Curryyuday kooday inni venam taste cheyuth nokan,6
"Veenechi, good recipe ........",2
Will try it chechi,6
Adipili chechi polich njan try cheyum but eppam exama njan aagrahicha recip,5
സിനിചേച്ചി ഭാഗ്യവതിയാണ്,6
Try cheyyam chechy... ,6
Chechi....honey glazed chiken malesia yil poyapo kaichu...endammo vayil vakkan kollilarunnu...eni chechy undakit venam enik try cheyyan....chechy de version ne seriyawu,7
Nice video and grant celebrations Chechi. Thank you..... No words to say ,3
Good ,3
I think you are a cooking encyclopedia. You are great dear. All the best,4
Wow!!  what a scenic beauty!!!,6
Uppuma looks really yummy,3
Kanderekkan thonnuva...,6
Mam nte receipe books enik venam...engane kittum?,7
Mam when you add eest,7
ഞങ്ങളും പരിപ്പൊഴിച്ചാണ് - സദ്യ കഴിക്കുന്നത് കായംകുളം  Super,6
ഞാൻ ഇത് നോക്കും,6
ലക്ഷി മാമിന്റെ വിഡിയോക്കായ് കാത്തിരിക്കുന്നവർ ലൈക് അടി  മക്കളെ,6
Hi veena unniappam superayitund. Azukam mariyo?,4
Yummy feel veena.,4
Avikuttanu ഒരായിരം ജന്മദിനാശംസകൾ,6
Ma'am വിനാഗിരി ക്കു പകരം വേറെ  എന്തെങ്കിലും use ചെയ്യാൻ പറ്റുമോ.  തക്കാളി അങ്ങിനെ enthekilum,7
"Maminte mik kuthiyekkunna sthalam maattiyappo samsarathil ulla oru swasam muttal feel maariketti , elle mam, love u",6
I am first veena,6
I saw a person as like me...,6
Nxt week oru simple veg recipe idumo chechi !! ,7
Full counter aanallo,6
"ithupole simple ayitulla vlog kanan enth santhoshama , esp njgal pravsikalu",4
Hi mam.. can I use coconut milk powder instead of coconut milk?,7
Chechiyude recipes follow cheythit undakkiyal onnum floppavilla.dairyamayi undakkam..,2
